id,session_id,participant_id,task,t_ms,x,y,page_w,page_h,ts_utc,created_at
1578,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,41,0,0,1440,812,2025-11-28 11:26:38.839+00,2025-11-28 11:27:37.425373+00
1579,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,81,0,0,1440,812,2025-11-28 11:26:38.879+00,2025-11-28 11:27:37.425373+00
1580,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,121,0,0,1440,812,2025-11-28 11:26:38.919+00,2025-11-28 11:27:37.425373+00
1581,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,161,0,0,1440,812,2025-11-28 11:26:38.958+00,2025-11-28 11:27:37.425373+00
1582,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,201,0,0,1440,812,2025-11-28 11:26:38.999+00,2025-11-28 11:27:37.425373+00
1583,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,241,0,0,1440,812,2025-11-28 11:26:39.039+00,2025-11-28 11:27:37.425373+00
1584,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,281,0,0,1440,812,2025-11-28 11:26:39.079+00,2025-11-28 11:27:37.425373+00
1585,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,321,0,0,1440,812,2025-11-28 11:26:39.119+00,2025-11-28 11:27:37.425373+00
1586,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,361,0,0,1440,812,2025-11-28 11:26:39.159+00,2025-11-28 11:27:37.425373+00
1587,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,402,0,0,1440,812,2025-11-28 11:26:39.199+00,2025-11-28 11:27:37.425373+00
1588,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,441,0,0,1440,812,2025-11-28 11:26:39.239+00,2025-11-28 11:27:37.425373+00
1589,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,481,0,0,1440,812,2025-11-28 11:26:39.279+00,2025-11-28 11:27:37.425373+00
